tag;artist;song;popularity;id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
happy;Jan A.P. Kaczmarek;Impossible Opening - Finding Neverland/Soundtrack Version;30;3bLXdyKo2aD1O9Cq7m6aii;0.399;0.19;9;-17.987;0;0.0396;0.922;0.846;0.292;0.209;155.227;206425
happy;William Boyce;"Symphony No. 1 in B-Flat Major, Op. 2, ""New Year Ode"": I. Allegro";18;2MdD68eb0nKV860CWLzxYo;0.43;0.128;9;-23.366;1;0.0446;0.95;0.927;0.25;0.708;86.204;175787
happy;Wolfgang Amadeus Mozart;Sinfonia Concertante for Violin, Viola and Orchestra In E Flat Major, K 364 : Presto;30;5GH7BlpJmtJVaafyqw9EhB;0.466;0.287;3;-15.053;1;0.0417;0.965;0.867;0.0898;0.489;87.931;348867
happy;Jean-Yves Thibaudet;Valse Brillante In A-flat Major, Op. 34, No. 1;38;42OuvdpU0DawsITUkCr3BC;0.409;0.123;8;-20.772;1;0.0355;0.99;0.891;0.136;0.255;107.201;296427
happy;Franz Joseph Haydn;Concerto for Trumpet and Orchestra, in E-flat Major Hob.VIIe: 1: I. Allegro;37;27VuwTyDyyxXY8Cnl2ZUNO;0.397;0.111;3;-19.931;1;0.0411;0.987;0.917;0.107;0.302;127.365;410960
happy;Johann Adolf Hasse;L'Olimpiade, Act I: I. Superbo di me stesso;15;4dQTIXmcx4jf0nRY9JpqmF;0.375;0.149;4;-21.257;1;0.0468;0.971;0.00394;0.184;0.277;133.24;420507
happy;Alessandro Scarlatti;La gloria di primavera, Pt. 1: Part I: Sinfonia;28;2Nm5hVeVdCOaZJ39janWfv;0.418;0.149;8;-20.124;1;0.0416;0.875;0.13;0.0768;0.48;108.007;192733
happy;George Frideric Handel;Handel: Suite in D Major for Trumpet and Strings: II. Gigue (Allegro);34;6jz4ZLixg0U6N0b0hDUbLq;0.524;0.163;2;-19.916;1;0.0416;0.945;0.961;0.209;0.624;104.393;105653
happy;Franz Krommer;Concerto For Oboe In F Major, Op. 52: Rondo, Allegretto;24;7e8Dk7eHPjJ3czL9KkqtY3;0.425;0.2;5;-15.351;1;0.0354;0.841;0.937;0.0661;0.427;148.184;305200
happy;Johann Strauss II;Schatz-Walzer, Op. 418;37;1iDmN4cjnnXcKPBV6pCwyC;0.285;0.21;0;-16.744;1;0.0503;0.861;0.807;0.668;0.238;90.027;486293
happy;Franz Joseph Haydn;Symphony No. 83 in G minor, 'La Poule': III. Minuetto (Allegretto) & Trio;36;0x77qH7TpzfsSNhl2PQYTu;0.493;0.0743;11;-18.364;0;0.059;0.942;0.194;0.345;0.356;78.298;206933
happy;Franz Joseph Haydn;Haydn: Trumpet Concerto In E Flat - I Allegro;39;76iclHoqoX5pHlxaRG8JIb;0.351;0.128;3;-18.048;1;0.0412;0.984;0.877;0.113;0.316;133.903;432147
