sep=,
electronic,KUURO_Possession_Monstercat_Release_,0.135
electronic,Matroda_Dat_Vibe_Pt_2,0.048
electronic,Maya_Jane_Coles_What_They_Say_Original_Mix_,0.042
electronic,MOUNT_Melody_ft_Bright_Sparks_,0.092
electronic,Notaker_Shimmer_Monstercat_Release_,0.077
electronic,ODESZA_Late_Night_Official_Video,0.086
electronic,ODESZA_Meridian,0.067
electronic,Orchestral_Trap_Egzod_Talisman,0.097
electronic,Pep_Rash_Underground,0.094
electronic,Promise_Land_Borderline_Copyright_Free_Music_,0.091
electronic,Redlight_New_Flows_Rugged_Raw_Remix_,0.161
electronic,RL_Grime_Stay_For_It_feat_Miguel_,0.134
electronic,RL_Grime_What_So_Not_and_Skrillex_Waiting,0.096
electronic,Roulsen_Rumble,0.098
electronic,SOFI_TUKKER_Fuck_They_Official_Audio_,0.086
electronic,Solardo_On_The_Corner,0.227
electronic,Super8_Tab_Cosmo_ASOT2017_,0.082
electronic,Tie_sto_Sevenn_BOOM_Official_Video_,0.113
electronic,Tom_Staar_Drift,0.139
electronic,Tomas_Heredia_Andes_ASOT817_,0.143
electronic,Valentino_Khan_Pump_Official_Audio_,0.069
electronic,Vanilla_Ace_Scandalize_Radio_Edit_,0.063
electronic,Yves_V_Marc_Benjamin_Blow_Official_Music_Video_,0.079
electronic,Zeds_Dead_Slow_Down_Zeds_Dead_Remix_,0.091
happy,_I_Only_Want_to_Be_with_You_Dusty_Springfield,0.145
happy,1963_7_Summer_Holiday_Cliff_Richard_The_Shadows,0.158
happy,8_CALENDAR_GIRL_1999_REMASTERED_VERSION_NEIL_SEDAKA_Deadpool_Ost_,0.15
happy,Aretha_Franklin_I_say_a_little_prayer_Official_song_HQ_version_Photos_Photoshoots,0.086
happy,Aretha_Franklin_Respect_1967_Original_Version_,0.139
happy,Baby_Now_That_I_ve_Found_You_The_Foundations_1967_,0.133
happy,Beach_Boys_Barbara_Ann,0.115
happy,Beach_Boys_Wouldn_t_It_Be_Nice,0.103
happy,Bobby_Darin_Dream_Lover,0.147
happy,Buddy_Holly_That_ll_Be_The_Day_Decca_Version_HQ_Audio_,0.14
happy,Bus_Stop_The_Hollies_1966,0.153
happy,California_Dreamin_The_Mamas_The_Papas,0.146
happy,Cant_Take_My_Eyes_Off_You_Frankie_Valli_and_The_4_Seasons_lyrics,0.086
happy,Do_You_Believe_In_Magic_The_Lovin_Spoonful,0.146
happy,Doo_Wah_Diddy_Diddy_Manfred_Mann_HiQ_Hybrid_JARichardsFilm,0.159
happy,Everly_Brothers_Wake_Up_Little_Susie,0.125
happy,Everyday_By_Buddy_Holly_With_Lyrics,0.124
happy,Gary_Lewis_The_Playboys_This_Diamond_Ring_stereo_,0.144
happy,Herman_s_Hermits_I_m_Into_Something_Good,0.097
happy,I_Feel_Fine_by_The_Beatles_HD_Remastered_Stereo,0.135
happy,I_Think_We_re_Alone_Now_Tommy_James_The_Shondells,0.128
happy,I_Want_You_Back_The_Jackson_5,0.132
happy,Isley_Brothers_This_Old_Heart_Of_Mine_Is_Weak_For_You,0.146
happy,Jackie_Wilson_Your_Love_Keeps_Lifting_Me_Higher_And_Higher_Best_Quality_,0.136
happy,Karaoke_It_s_My_Party_Lesley_Gore_,0.166
happy,Little_Eva_The_Locomotion,0.118
happy,MARMALADE_Ob_La_Di_Ob_La_Da_1969_,0.096
happy,Martha_Reeves_And_The_Vandellas_Dancing_In_The_Street_Lyrics,0.189
happy,MARVIN_GAYE_TAMMI_TERRELL_Ain_t_no_Mountain_High_Enough_,0.121
happy,Marvin_Gaye_I_Heard_It_Through_The_Grapevine_Live_,0.073
happy,Mary_Wells_My_Guy,0.099
happy,Monkees_Daydream_Believer_Great_Audio_Quality_Music_Video_From_MTV_,0.106
happy,Mony_Mony_by_Tommy_James_The_Shondells,0.112
happy,Natalie_Cole_This_Will_Be_An_Everlasting_Love_1975,0.121
happy,Neil_Diamond_Sweet_Caroline_High_Quality_neildiamond,0.085
happy,Oh_Pretty_Woman_Roy_Orbison_HD_HQ_720p_1080p_DVDRip_High_Quality_and_Definition,0.083
happy,Otis_Redding_Sittin_On_The_Dock_Of_The_Bay_Official_Video_,0.042
happy,Petula_Clark_Downtown_original_version,0.085
happy,Sam_Cooke_What_A_Wonderful_World_Official_Lyric_Video_,0.092
happy,Simon_Garfunkel_Mrs_Robinson_Audio_,0.089
happy,Sly_The_Family_Stone_Everyday_People,0.098
happy,Stand_By_Me_Ben_E_King_1961,0.079
happy,Stevie_Wonder_Signed_Sealed_Delivered_I_m_Yours,0.12
happy,THE_ANGELS_My_Boyfriend_s_Back_original_single_version_,0.136
happy,The_Archies_Sugar_Sugar_Original_1969_Music_Video_,0.065
happy,The_Association_Windy,0.106
happy,The_Chiffons_One_Fine_Day_1963,0.136
happy,The_Cowsills_The_Rain_The_Park_Other_Things_Original_1967_Mono_45_Single_Version_HQ_,0.143
happy,the_drifters_up_on_the_roof,0.102
happy,The_Four_Seasons_Sherry_1962_,0.097
happy,The_Four_Tops_I_Can_t_Help_Myself_Sugar_Pie_Honey_Bunch_,0.148
happy,The_Jackson_5_ABC,0.137
happy,The_Marvelettes_Please_Mr_Postman_1961_,0.13
happy,THE_MONKEES_I_M_A_BELIEVER_1966_Original_HQ_856X480_,0.112
happy,The_Ronettes_Be_My_Baby,0.116
happy,The_Seekers_Georgy_Girl_1967_Stereo_,0.127
happy,The_Shangri_Las_Leader_Of_The_Pack_Video_with_High_Quality_Sound,0.107
happy,The_Spencer_Davis_Group_Gimme_Some_Lovin_original_US_mono_mix_45_single,0.14
happy,The_Stone_Poneys_Different_Drum_1967_Video,0.093
happy,The_Supremes_You_can_t_hurry_love_GR_082_16_Official_Video_,0.133
happy,The_Supremes_Baby_Love,0.068
happy,The_Supremes_Come_See_About_Me_Stereo_,0.274
happy,The_Temptations_Get_Ready,0.12
happy,The_Temptations_My_Girl,0.12
happy,The_Toys_A_Lovers_Concerto,0.127
happy,The_Turtles_Elenore_lyrics,0.071
happy,The_Turtles_Happy_together_video_audio_edited_remastered_HQ,0.104
